target_id	length	eff_length	est_counts	tpm
Phel_contig_1	905	611.137	22	6.19767
Phel_contig_10	2138	1843.08	207.983	19.428
Phel_contig_100	10344	10049.1	1755	30.0674
Phel_contig_1000	4676	4381.08	4433	174.205
Phel_contig_10000	843	550.769	2	0.62518
Phel_contig_10001	1108	813.076	18	3.81141
Phel_contig_10002	3127	2832.08	91.6643	5.57236
Phel_contig_10003	1120	825.076	48.0774	10.0321
Phel_contig_10004	712	426.691	75	30.2616
Phel_contig_10005	1319	1024.08	100	16.8117
Phel_contig_10006	861	568.164	34	10.3027
Phel_contig_10007	777	487.572	26	9.18077
Phel_contig_10008	510	250.083	12	8.26118
Phel_contig_10009	609	333.407	5.8699	3.0311
Phel_contig_1001	1473	1178.08	450	65.7633
Phel_contig_10010	771	481.92	0	0
Phel_contig_10011	1568	1273.08	101	13.6588
Phel_contig_10012	692	408.204	141	59.4683
Phel_contig_10013	2373	2078.08	119	9.85893
Phel_contig_10014	793	502.677	120	41.0995
Phel_contig_10015	1463	1168.08	78.7505	11.6072
Phel_contig_10016	938	643.604	11.494	3.07467
Phel_contig_10017	1069	774.076	78.1056	17.3717
Phel_contig_10018	846	553.722	88.313	27.4585
Phel_contig_10019	679	396.433	45.1079	19.5897
Phel_contig_1002	859	566.196	184	55.9494
Phel_contig_10020	1174	879.076	93	18.2138
Phel_contig_10021	2110	1815.08	372	35.2852
Phel_contig_10022	806	514.949	43	14.3763
Phel_contig_10023	1575	1280.08	2	0.268991
Phel_contig_10024	928	633.749	50	13.583
Phel_contig_10025	1488	1193.08	291	41.9923
Phel_contig_10026	598	323.635	92	48.9414
Phel_contig_10027	1401	1106.08	346	53.8562
Phel_contig_10028	543	277.234	0	0
Phel_contig_10029	1102	807.076	46	9.81268
Phel_contig_1003	1146	851.076	155	31.3551
Phel_contig_10030	2857	2562.08	263	17.6729
Phel_contig_10031	2059	1764.08	150.742	14.7116
Phel_contig_10032	935	640.64	46	12.362
Phel_contig_10033	516	254.969	27	18.2314
Phel_contig_10034	4128	3833.08	344	15.451
Phel_contig_10035	2487	2192.08	25	1.96349
Phel_contig_10036	1004	709.076	7	1.69961
Phel_contig_10037	2471	2176.08	100.18	7.92593
Phel_contig_10038	834	541.925	49	15.5669
Phel_contig_10039	1685	1390.08	27.6799	3.42823
Phel_contig_1004	1581	1286.08	91.8826	12.3002
Phel_contig_10040	2252	1957.08	293.231	25.7957
Phel_contig_10041	1570	1275.08	96	12.9622
Phel_contig_10042	516	254.969	1	0.675238
Phel_contig_10043	2675	2380.08	390	28.211
Phel_contig_10044	2379	2084.08	140	11.5654
Phel_contig_10045	1053	758.076	0	0
Phel_contig_10046	1354	1059.08	76.1436	12.378
Phel_contig_10047	604	328.82	17	8.90092
Phel_contig_10048	4774	4479.08	66.4463	2.55403
Phel_contig_10049	1759	1464.08	155	18.2269
Phel_contig_1005	669	387.324	707	314.26
Phel_contig_10050	2528	2233.08	214.414	16.5308
Phel_contig_10051	991	696.076	1	0.247336
Phel_contig_10052	1533	1238.08	89	12.3762
Phel_contig_10053	1349	1054.08	121	19.7632
Phel_contig_10054	842	549.769	0	0
Phel_contig_10055	1012	717.076	13	3.12121
Phel_contig_10056	605	329.742	35.3004	18.431
Phel_contig_10057	565	295.58	4.17098	2.42945
Phel_contig_10058	1421	1126.08	84	12.8427
Phel_contig_10059	671	389.086	13.8042	6.10814
Phel_contig_1006	680	397.376	106	45.925
Phel_contig_10060	1142	847.076	24	4.8779
Phel_contig_10061	959	664.308	0	0
Phel_contig_10062	725	438.916	69	27.0652
Phel_contig_10063	519	257.426	2	1.33759
Phel_contig_10064	1344	1049.08	31	5.08744
Phel_contig_10065	650	369.896	12.4667	5.80251
Phel_contig_10066	805	514.008	23.5505	7.88813
Phel_contig_10067	1839	1544.08	42.3348	4.72034
Phel_contig_10068	1288	993.076	57	9.88181
Phel_contig_10069	2996	2701.08	330	21.034
Phel_contig_1007	757	468.71	1076.44	395.394
Phel_contig_10070	2396	2101.08	337.119	27.624
Phel_contig_10071	945	650.438	5	1.32345
Phel_contig_10072	1011	716.076	80.3203	19.3112
Phel_contig_10073	1739	1444.08	441	52.5766
Phel_contig_10074	857	564.26	97	29.5962
Phel_contig_10075	974	679.174	2	0.506983
Phel_contig_10076	591	317.765	44	23.8392
Phel_contig_10077	1218	923.076	23	4.28978
Phel_contig_10078	1722	1427.08	32	3.86053
Phel_contig_10079	4519	4224.08	253	10.3118
Phel_contig_1008	917	622.874	29.0245	8.02249
Phel_contig_10080	1179	884.076	87	16.9424
Phel_contig_10081	516	254.969	30	20.2571
Phel_contig_10082	762	473.386	33.0237	12.0103
Phel_contig_10083	762	473.386	7.06369	2.56898
Phel_contig_10084	648	368.004	25.013	11.7019
Phel_contig_10085	993	698.076	74.5064	18.3753
Phel_contig_10086	1909	1614.08	0	0
Phel_contig_10087	1279	984.076	34.3096	6.00249
Phel_contig_10088	796	505.562	3	1.02162
Phel_contig_10089	995	700.076	0	0
Phel_contig_1009	2709	2414.08	3492.71	249.09
Phel_contig_10090	2530	2235.08	112	8.6272
Phel_contig_10091	1233	938.076	33.1842	6.09028
Phel_contig_10092	1180	885.076	71	13.8109
Phel_contig_10093	689	405.405	15	6.3701
