# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0002181"	"cytoplasmic translation"	0.37754692803215667	-7.853871964321762	0.8874096379381943	0	null
"GO:0006006"	"glucose metabolic process"	0.4804905535489239	-1.5788308154424657	0.9474887642605457	0.32166775	"cytoplasmic translation"
"GO:0006412"	"translation"	4.432288697403288	-4.806875401645539	0.858617642833692	0.40773812	"cytoplasmic translation"
"GO:0006508"	"proteolysis"	5.329242630377004	-5.779891911959945	0.8905972754618732	0.44662344	"cytoplasmic translation"
"GO:0006511"	"ubiquitin-dependent protein catabolic process"	1.2078769595261523	-6.82102305270683	0.8120006332742462	0.27024809	"cytoplasmic translation"
"GO:0006541"	"glutamine metabolic process"	0.5425831042593171	-1.3761049494068898	0.9225128577039212	0.46183268	"cytoplasmic translation"
"GO:0006633"	"fatty acid biosynthetic process"	0.8341968169685278	-2.4008370567540926	0.8972687914873582	0.21434406	"cytoplasmic translation"
"GO:0006750"	"glutathione biosynthetic process"	0.060298224414445364	-1.608819321142982	0.9489403175631178	0.1710035	"cytoplasmic translation"
"GO:0016310"	"phosphorylation"	6.253736641437635	-2.2131217142722295	0.9345693535955009	0.1337575	"cytoplasmic translation"
"GO:0016567"	"protein ubiquitination"	1.2480954666259985	-6.6777807052660805	0.8728229386103966	0.30696801	"cytoplasmic translation"
"GO:0031638"	"zymogen activation"	0.03279260526874257	-3.3010299956639813	0.8812405947660463	0.44629044	"cytoplasmic translation"
"GO:0035335"	"peptidyl-tyrosine dephosphorylation"	0.04028250227638227	-1.8318393578812942	0.8994543505172511	0.37472349	"cytoplasmic translation"
"GO:0043651"	"linoleic acid metabolic process"	0.009119312656360522	-1.7012183370767484	0.9261906107540453	0.56257606	"cytoplasmic translation"
"GO:0044550"	"secondary metabolite biosynthetic process"	0.46700972347634995	-2.7009012566108193	0.9610025655845355	0.16393964	"cytoplasmic translation"
"GO:0051865"	"protein autoubiquitination"	0.026011577908884753	-1.7334640273688475	0.9035590266492365	0.66477074	"cytoplasmic translation"
"GO:0070534"	"protein K63-linked ubiquitination"	0.04617498122356907	-1.945868306225057	0.8998157943888536	0.69639444	"cytoplasmic translation"
"GO:0097352"	"autophagosome maturation"	0.03528841715364124	-2.769580202875278	0.8440655857198789	0.35331458	"cytoplasmic translation"
"GO:0006629"	"lipid metabolic process"	5.980051423570241	-1.7718507679270568	0.9546731800922659	0.0880063	null
"GO:0006915"	"apoptotic process"	0.3770497347375319	-2.6017744931381825	0.9897529807496716	0.01339876	null
"GO:0007034"	"vacuolar transport"	0.3908702315163347	-2.545273863376145	0.8973753915054422	0.01344212	null
"GO:0006625"	"protein targeting to peroxisome"	0.00854581742048144	-1.8166502250102738	0.8936779321191818	0.36459264	"vacuolar transport"
"GO:0015031"	"protein transport"	2.9737820130332575	-2.417660345442056	0.882313038623363	0.60009782	"vacuolar transport"
"GO:0015804"	"neutral amino acid transport"	0.1977918612017477	-2.4120443503657105	0.9540329093896845	0.23353163	"vacuolar transport"
"GO:0015881"	"creatine transmembrane transport"	0.0006202609418091367	-1.7012183370767484	0.9509648748210678	0.15675585	"vacuolar transport"
"GO:0035418"	"protein localization to synapse"	0.038569400627576085	-1.940127498672291	0.9175271906262178	0.40558083	"vacuolar transport"
"GO:0045324"	"late endosome to vacuole transport"	0.1579327116316796	-1.6409330640664193	0.9025409474199535	0.57593099	"vacuolar transport"
"GO:0070327"	"thyroid hormone transport"	0.003820019768602303	-1.4629053329210582	0.8860500702629847	0.1748864	"vacuolar transport"
