Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	80	2.6755852842809364	1.8616791553129075E-8	A9JTG5, P46471, A0A0G2JZ79, Q969H0, D2GXS7, Q6GPF3, P54814, P51665, Q9P0J7, Q9QZN1, Q92890, Q9Z2U1, P48601, P23787, Q5F418, Q5E9K0, Q9H3F6, Q9VBP9, Q32KL2, O43242, Q8BK63, Q9ESN6, P60901, Q8VBV4, P55036, P55035, Q8QG64, O08759, Q7SXR3, P17439, A5HK05, Q80U30, Q5T447, Q0IIF7, Q4R834, Q9V3G7, B4F6W9, P46379, O88685, Q13490, P49407, Q9HAU4, Q9Z255, Q3ULA2, O70277, A9JRZ0, A4IF63, Q8VDM4, Q9R1P4, Q9ES00, Q9V3H2, Q5NVK7, D3Z902, Q5RE15, P60670, Q03601, P25789, P25788, Q5ZK10, P40307, P62334, P25787, Q28DT9, Q5ZHY5, P70195, Q6PJ21, Q61382, Q9C040, P54802, Q60692, P54725, P0C2W1, A1Z6E0, Q4R7L3, Q9Y263, Q8BK06, O73817, Q9R1A8	2807	173	10742	1.7696468984434044	1.108940791092472E-4	1.109002272819899E-4	1.1069544257490549E-4
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	28	0.9364548494983277	4.769426598894515E-8	Q9IA76, P18101, P63221, G1SQH0, G1SKF7, Q8JGR4, O09167, Q8CBC7, A0A1D8PF57, O61231, Q6DD06, Q6P799, P47955, P41116, P62907, P51410, P27085, Q9VXX8, P62861, Q02543, P36241, P61314, Q90YV0, P05388, P24049	2807	40	10742	2.6788029925187034	2.840743924511502E-4	1.4205737124807312E-4	1.4179505278513394E-4
GOTERM_BP_DIRECT	GO:0006508~proteolysis	144	4.816053511705685	5.956293708926303E-7	B2RYG6, G5ECS8, P48052, P59509, Q9Y3Q0, Q8R4K8, Q8C1A5, P62083, Q9QX15, P21128, P17945, P25723, Q8BW70, A6QR55, Q6ICB0, Q86UV5, Q6TH47, Q8CF97, P19221, P12821, Q8TE57, P15145, P87362, Q9WVM6, B2GUZ1, Q8CHN8, Q5XJY4, A0A2S3R7M0, B6MUN4, O00602, P10619, Q19AZ8, O43895, Q54P70, Q6PZ02, Q9CXY9, Q9WTR0, Q99PW6, O05218, A0A0R4IB93, O02467, Q8NF86, O57382, P16444, Q9UDY8, P48147, B5DEQ3, Q93008, O35548, P23004, P45436, Q9DEX3, P80646, Q6GQ29, Q9R0S2, Q61824, O77656, P17538, Q60692, Q3T0P5, Q00493, P15088, P14272, B1AQJ2, P20825, Q9UQC9, Q92542, Q9NQH7, Q8BHG1, P29119, Q9ULZ9, Q9UKP5, Q9VT65, Q8IYS1, P56399, Q3UVK0, P20918, Q5PQY6, O76031, P55866, Q9P2N4, Q8I7P9, P21328, P70627, Q95M12, Q5G267, A0A386CAB9, P20231, P04323, Q9Y5R2, P55115, P21580, P55112, Q96LD8, Q9D7Z6, P13676, Q5G271, P90850, B0BM95, P00730, Q09PK2, Q3ULA2, Q9VAC5, P04813, P16519, P0CT40, A8K7I4, Q86V25, Q7L266, A3KG59, Q80V42, Q4R7U8, P69527, Q99542, O57579, P00767, P54281, Q60928, P98064, Q9NQC7, Q15485, O15072, Q10751, Q1JPJ2, A3KQS4, F1NV61, Q9CXT6, Q9JLG8, P70195, Q2T9J0, P53634, P15684, Q3UTY6, Q6Q473, P10394, Q9JJ22, Q99497, P08594, P47245, Q5I0D7, Q9I9L7	2807	383	10742	1.438819958682183	0.003541877919476355	9.629233732950656E-4	9.611452707088234E-4
GOTERM_BP_DIRECT	GO:0006511~ubiquitin-dependent protein catabolic process	70	2.341137123745819	6.465827586335845E-7	Q9H0E2, P46471, Q9UBF6, Q8CJB9, P53804, Q6GPF3, Q9BXM7, Q5E964, Q92890, Q08CZ0, Q6P073, Q9JLV2, Q9Z2U1, Q8BW70, Q6TEM9, Q71U00, Q9H3F6, Q9VBP9, Q9Y5A7, Q15386, O43242, Q5RKH6, P60901, Q8QG64, O08759, Q6J1I7, Q9R049, Q3T0J1, F6P3G4, Q96AB6, Q29504, Q9P2G1, Q5U2S1, Q5SPX3, Q4KLT0, B4F6W9, P46379, Q6ZT12, P49407, Q15751, Q9HAU4, Q3ULA2, A9JRZ0, Q9R1P4, Q9ES00, P18101, Q9PTW9, Q923V4, P60670, P25789, P25788, P25867, Q5ND34, Q8BM54, Q6NW85, P25787, Q4G0X4, Q8TDB6, O88196, Q5ZHY5, O95260, Q9CPX9, Q9M622, P0C2W1, Q6I6G8, Q9NV58, Q9UMX0, P22682, O95628	2807	156	10742	1.7171814054607073	0.0038442864769299145	9.629233732950656E-4	9.611452707088234E-4
GOTERM_BP_DIRECT	GO:0007229~integrin-mediated signaling pathway	26	0.8695652173913043	1.523262084810304E-5	Q13797, P59509, Q9W2Q5, Q6GPF3, Q06124, B8JK39, Q99JY8, P14234, Q00651, Q9VZI3, A2ARA8, Q9DF58, B0FYY4, P26039, Q9Y490, Q9EQH1, O15072, Q8CFN2, P12606, Q8VI36, Q03001, Q61001, B1A8Z2, D3ZIE4, Q9H0C8, Q66H76	2807	44	10742	2.2613272014768273	0.08674616452649042	0.018148144478429964	0.018114632712564135
GOTERM_BP_DIRECT	GO:0033209~tumor necrosis factor-mediated signaling pathway	17	0.5685618729096991	3.578254919726326E-5	P70191, Q9WU72, Q60855, Q9VAC5, P39429, Q61382, Q3ZCC3, Q5ZJB4, Q63486, Q9Y4K3, P92208, Q9NS68, Q9DF58, P48059, Q13490, Q3MHX1, Q924T7	2807	24	10742	2.710693504334402	0.19197352855063798	0.03508708272622552	0.035022292074892894
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	31	1.0367892976588629	4.123041448440132E-5	A9JTG5, P81799, Q5R8Z8, Q96EP0, Q5RAZ4, B9EKI3, F6R2G2, P17676, Q8R481, Q6NYB7, Q5RBP9, Q9Z2F6, Q9V9J3, Q8R4U0, Q9ULY5, Q8WWQ8, Q924T7, P09215, F1NV61, O75179, Q29599, Q8R151, Q04721, P20749, Q9JI48, Q9SAL0, Q5XJ85	2807	59	10742	2.0107237958372832	0.21777639742745236	0.03508708272622552	0.035022292074892894
GOTERM_BP_DIRECT	GO:0006412~translation	73	2.4414715719063547	6.750619590309225E-5	Q62448, Q6P3J5, O42387, P62083, P63245, G1SZ12, P17702, O09167, P17074, Q8WQI5, Q7T2A5, Q90Z10, Q6B860, O01727, A3KMI0, Q6NZJ6, Q9VXX8, G1TU13, Q8N5C6, P84175, Q8R050, P61354, P62282, Q6DRC4, P61314, P23358, Q6PBY1, Q3T0B7, P05388, P08736, P29314, Q9GNE2, Q8VE22, G1TFM5, P59325, P18101, P31674, P63221, G1SKF7, Q05AY2, Q99LJ2, O61231, P47897, Q6INR1, P79781, Q90YS0, G1SNY0, Q8BP74, P41116, P62907, Q8ISP0, Q6GR45, Q3MHH4, P51410, P62909, P47772, Q6PF21, P62861, Q02543, P33095, P36241, Q90YV0, Q4R8Z2, Q4R4Z6	2807	184	10742	1.5182656712256624	0.33111824468771434	0.04711884614610777	0.047031838036722645
GOTERM_BP_DIRECT	GO:0097352~autophagosome maturation	20	0.6688963210702341	7.118845313328352E-5	Q9BXW4, Q8CGS4, Q0II86, P60517, Q9Z2P6, Q5R605, Q63615, Q9H269, Q99570, O75351, Q29611, P60522, P23787, Q920Q4, Q9UMX0, O70404, Q4QQV8, O94817	2807	32	10742	2.3917883861774136	0.34563155229201037	0.04711884614610777	0.047031838036722645
GOTERM_BP_DIRECT	GO:0043123~positive regulation of canonical NF-kappaB signal transduction	41	1.37123745819398	1.2306347837130402E-4	A9JTG5, Q96EP0, Q5RAZ4, O42123, Q9Z0H7, Q8BTM8, Q9UHD2, Q3ZCC3, Q9NYY3, Q9Y4K3, Q9WUN2, Q1RMT8, Q9NS68, Q6R653, Q9BXM7, Q9UDY8, Q9DF58, Q9HAT8, O94827, Q924T7, Q14254, P70191, Q15848, Q60HG7, Q60855, O75179, P39429, Q8NFZ5, Q9NR30, Q9PSX7, P37198, Q5U2S1, Q05B79, Q9H0C8, P48059, Q13490, Q5BKL8, P21333, Q5XJ85, Q99JG7	2807	90	10742	1.7433479792582038	0.5195990698642723	0.06901322353010127	0.06888578598455299
