CM063243.1	sp	P57103	NAC3_HUMAN	53.288	593	243	9	24157778	24156054	18	594	0.0	615
CM063244.1	sp	P18294	KCRF_STRPU	72.137	585	152	3	14169029	14170759	58	639	0.0	877
CM063244.1	sp	P18294	KCRF_STRPU	74.770	543	137	0	14170720	14172348	627	1169	0.0	872
CM063244.1	sp	P18294	KCRF_STRPU	65.424	590	198	2	14169008	14170759	424	1013	0.0	798
CM063244.1	sp	P18294	KCRF_STRPU	67.647	544	167	2	14170723	14172342	255	793	0.0	764
CM063244.1	sp	P18294	KCRF_STRPU	72.853	361	98	0	14171260	14172342	60	420	8.48e-171	576
CM063244.1	sp	P18294	KCRF_STRPU	69.916	359	107	1	14169035	14170108	807	1165	2.09e-156	534
CM063244.1	sp	P18294	KCRF_STRPU	62.441	213	79	1	14170121	14170759	55	266	2.99e-72	282
CM063244.1	sp	P18294	KCRF_STRPU	69.565	184	53	1	14170678	14171229	990	1170	8.09e-65	259
CM063244.1	sp	P18294	KCRF_STRPU	35.652	345	206	9	22262520	22261504	71	405	2.81e-48	206
CM063244.1	sp	P18294	KCRF_STRPU	35.362	345	207	9	22262520	22261504	818	1152	7.06e-48	205
CM063244.1	sp	P18294	KCRF_STRPU	33.708	356	219	10	22262520	22261474	444	789	8.10e-48	204
CM063245.1	sp	Q06248	HSP74_PARLI	74.407	590	128	2	13372370	13370643	59	639	0.0	899
CM063245.1	sp	Q06248	HSP74_PARLI	72.840	81	16	1	13382726	13382484	7	81	1.80e-21	117
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	27.769	3684	2183	123	5911472	5921623	1037	4542	0.0	1138
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	28.091	2321	1425	69	552641	546150	1824	4057	0.0	764
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	30.889	1350	810	39	732161	735970	1862	3168	0.0	518
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	25.729	377	236	10	737134	738192	3579	3935	0.0	102
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	23.843	281	198	9	736304	737107	3275	3552	0.0	81.6
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	26.263	99	55	4	735984	736274	3173	3255	0.0	33.5
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	28.571	1582	926	58	557330	552921	201	1690	7.53e-145	528
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	23.214	728	474	21	703701	705707	3275	3976	1.72e-80	160
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	26.154	585	332	20	705743	707302	3990	4539	1.72e-80	139
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	23.288	219	141	8	703055	703678	3056	3258	1.72e-80	58.5
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	29.625	854	509	36	5909079	5911460	201	1022	4.05e-74	293
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	25.833	1320	757	48	668800	665216	3318	4540	1.73e-72	288
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	32.704	477	270	18	727365	728699	200	657	6.76e-66	225
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	24.036	337	223	13	728791	729732	693	1019	6.76e-66	62.4
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	30.975	523	289	14	674230	672818	1421	1923	8.60e-63	256
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	31.148	488	265	13	730960	732255	1421	1893	6.14e-55	230
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	31.356	590	334	25	5944041	5945666	210	776	2.42e-54	228
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	38.904	365	189	10	701690	702730	2580	2928	1.12e-52	223
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	30.368	517	314	15	5912798	5914303	97	582	4.63e-41	184
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	29.693	522	313	16	553613	552105	97	583	2.00e-40	182
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	31.448	442	252	16	734132	735358	96	519	6.44e-40	180
CM063246.1	sp	Q9NZJ4	SACS_HUMAN	30.303	462	281	16	5915774	5917075	76	524	2.41e-39	178
